Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
102,Guido Carrillo,ar ARG,FW,Elche,30,1991,13.0,3,0,0,33,25,6,2,1,4,,,0,Matches
103,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,17.2,1,0,0,19,11,0,40,20,27,,,0,Matches
104,William Carvalho,pt POR,MF,Real Betis,29,1992,20.1,6,0,0,31,28,0,4,15,32,,,0,Matches
105,Casemiro,br BRA,MF,Real Madrid,29,1992,28.5,11,0,0,54,38,4,16,41,50,,,0,Matches
106,Kiko Casilla,es ESP,GK,Elche,34,1986,14.0,3,0,0,0,1,0,0,1,0,,,0,Matches
107,Catena,es ESP,DF,Rayo Vallecano,26,1994,36.0,8,0,0,26,14,3,2,30,24,,,0,Matches
108,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,3.1,1,0,0,3,7,0,2,5,5,,,0,Matches
109,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,20.0,5,0,0,22,40,2,79,20,43,,,0,Matches
110,Chapela,es ESP,MF,Cádiz,22,1999,4.4,0,0,0,4,9,1,12,4,2,,,0,Matches
111,Chema,es ESP,MF,Getafe,29,1992,0.5,1,1,0,2,0,0,0,0,0,,,0,Matches
112,Denis Cheryshev,ru RUS,MF,Valencia,30,1990,6.3,1,0,0,15,7,4,27,8,5,,,0,Matches
113,Samuel Chukwueze,ng NGA,MF,Villarreal,22,1999,14.8,4,0,0,11,16,12,17,5,10,,,0,Matches
114,Víctor Chust,es ESP,DF,Cádiz,21,2000,20.3,2,0,0,14,8,0,2,16,11,,,0,Matches
115,Jasper Cillessen,nl NED,GK,Valencia,32,1989,16.2,1,0,0,0,1,0,0,0,0,,,0,Matches
116,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,12.2,5,0,0,19,9,1,0,30,16,,,1,Matches
117,Carlos Clerc,es ESP,"DF,MF",Levante,29,1992,16.8,6,0,0,23,18,0,48,23,18,,,0,Matches
118,Coke,es ESP,DF,Levante,34,1987,1.3,1,0,0,4,1,0,0,2,2,,,0,Matches
119,Álex Collado,es ESP,"MF,FW",Granada,22,1999,11.3,1,0,0,15,16,0,42,5,13,,,0,Matches
120,Eray Cömert,ch SUI,DF,Valencia,23,1998,4.5,2,0,0,3,0,0,0,2,3,,,0,Matches
121,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,29.8,12,1,1,60,56,1,11,31,59,,,0,Matches
122,Diego Conde,es ESP,GK,Getafe,22,1998,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
123,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,9.2,3,0,0,22,13,0,1,21,16,,,0,Matches
124,Jesús Corona,mx MEX,"FW,MF",Sevilla,28,1993,12.9,2,0,0,11,27,7,53,9,7,,,0,Matches
125,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,26,1995,20.6,3,1,0,24,27,10,35,11,8,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Thierry Correia,pt POR,"DF,MF",Valencia,22,1999,15.7,5,0,0,32,29,0,50,18,24,,,0,Matches
127,Hélder Costa,ao ANG,MF,Valencia,27,1994,12.4,3,0,0,28,14,1,46,3,16,,,0,Matches
128,Jaume Costa,es ESP,DF,Mallorca,33,1988,20.3,5,1,0,21,26,2,74,23,28,,,0,Matches
129,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36.0,1,0,0,1,1,0,0,0,1,,,0,Matches
130,Philippe Coutinho,br BRA,"FW,MF",Barcelona,29,1992,5.6,1,0,0,7,13,2,19,4,3,,,0,Matches
131,Cristo,es ESP,DF,Real Sociedad,21,2000,0.2,0,0,0,1,0,0,2,0,0,,,0,Matches
132,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,21.5,4,0,0,19,5,0,8,17,22,,,0,Matches
133,Marc Cucurella,es ESP,"DF,MF",Getafe,23,1998,0.3,0,0,0,0,1,0,2,0,1,,,0,Matches
