Fecha,hora,L,V,GL,GV,TL,TV,CL,CV,AL,AV,RL,RV
12/11/2023,20:00,Ath Madrid,Villarreal,3,1,10,7,6,3,0,2,0,0
24/11/2023,20:00,Alaves,Granada,3,1,5,4,6,2,1,3,0,0
25/11/2023,13:00,Rayo,Barcelona,1,1,4,4,1,4,3,4,0,0
25/11/2023,15:15,Valencia,Celta,0,0,0,1,5,7,3,2,0,0
25/11/2023,17:30,Getafe,Almeria,2,1,5,4,3,6,2,4,0,0
25/11/2023,20:00,Ath Madrid,Mallorca,1,0,3,1,7,3,0,0,0,0
26/11/2023,13:00,Villarreal,Osasuna,3,1,3,7,2,4,0,0,0,0
26/11/2023,15:15,Real Sociedad,Sevilla,2,1,8,2,4,4,2,1,0,2
26/11/2023,17:30,Cadiz,Real Madrid,0,3,4,5,4,4,3,3,0,0
26/11/2023,20:00,Betis,Las Palmas,1,0,6,4,7,6,1,2,0,0
27/11/2023,20:00,Girona,Ath Bilbao,1,1,2,6,2,6,1,1,0,0
01/12/2023,20:00,Las Palmas,Getafe,2,0,6,4,4,4,0,5,0,1
02/12/2023,13:00,Girona,Valencia,2,1,5,3,3,2,2,3,0,0
02/12/2023,15:15,Ath Bilbao,Rayo,4,0,4,3,7,2,1,2,0,0
02/12/2023,17:30,Real Madrid,Granada,2,0,4,0,6,0,2,1,0,0
02/12/2023,20:00,Osasuna,Real Sociedad,1,1,3,5,1,8,3,3,0,0
03/12/2023,13:00,Mallorca,Alaves,0,0,3,4,5,4,4,2,0,0
03/12/2023,15:15,Almeria,Betis,0,0,8,2,4,6,0,3,0,1
03/12/2023,17:30,Sevilla,Villarreal,1,1,4,4,8,4,3,2,0,0
03/12/2023,20:00,Barcelona,Ath Madrid,1,0,2,4,7,2,5,4,0,0
04/12/2023,20:00,Celta,Cadiz,1,1,7,1,12,1,1,6,0,1
08/12/2023,20:00,Getafe,Valencia,1,0,6,0,7,0,2,4,1,2
09/12/2023,13:00,Alaves,Las Palmas,0,1,5,2,12,3,3,4,0,0
09/12/2023,15:15,Betis,Real Madrid,1,1,6,2,8,6,2,1,0,0
09/12/2023,17:30,Villarreal,Real Sociedad,0,3,4,5,5,3,2,1,0,0
09/12/2023,20:00,Mallorca,Sevilla,1,0,3,5,4,12,2,2,0,0
10/12/2023,13:00,Ath Madrid,Almeria,2,1,4,5,3,15,1,0,0,0
10/12/2023,17:30,Cadiz,Osasuna,1,1,5,5,2,4,1,2,0,0
10/12/2023,20:00,Barcelona,Girona,2,4,11,7,8,3,1,2,0,0
11/12/2023,20:00,Granada,Ath Bilbao,1,1,4,4,1,8,0,2,0,0
11/12/2023,20:00,Rayo,Celta,0,0,4,2,8,1,3,0,0,0
15/12/2023,20:00,Osasuna,Rayo,1,0,4,3,9,1,2,3,0,0
16/12/2023,13:00,Celta,Granada,1,0,4,2,7,1,6,2,1,0
16/12/2023,15:15,Ath Bilbao,Ath Madrid,2,0,7,3,3,7,0,1,0,0
16/12/2023,17:30,Sevilla,Getafe,0,3,4,7,4,2,3,3,0,0
16/12/2023,20:00,Valencia,Barcelona,1,1,4,8,4,6,1,2,0,0
17/12/2023,15:15,Real Sociedad,Betis,0,0,4,3,3,7,3,4,0,0
17/12/2023,20:00,Real Madrid,Villarreal,4,1,9,1,11,0,2,3,0,0
18/12/2023,20:00,Girona,Alaves,3,0,4,2,3,2,0,1,0,0
19/12/2023,18:00,Rayo,Valencia,0,1,1,3,8,1,1,5,0,1
19/12/2023,20:30,Ath Madrid,Getafe,3,3,4,9,1,12,3,3,1,0
19/12/2023,20:30,Granada,Sevilla,0,3,3,5,6,4,2,1,0,0
20/12/2023,18:00,Barcelona,Almeria,3,2,11,5,12,0,3,3,0,0
20/12/2023,20:30,Ath Bilbao,Las Palmas,1,0,10,1,5,2,1,3,0,0
20/12/2023,20:30,Villarreal,Celta,3,2,8,5,4,7,2,4,0,0
21/12/2023,18:00,Betis,Girona,1,1,4,4,7,6,2,2,0,0
21/12/2023,18:00,Cadiz,Real Sociedad,0,0,2,1,7,5,3,1,0,0
21/12/2023,20:30,Alaves,Real Madrid,0,1,2,4,3,3,3,1,0,1
21/12/2023,20:30,Mallorca,Osasuna,3,2,8,7,6,0,3,1,0,0
23/12/2023,15:15,Ath Madrid,Sevilla,1,0,4,2,6,5,7,3,1,0
02/01/2024,16:00,Getafe,Rayo,0,2,0,8,2,3,6,3,2,0
02/01/2024,18:15,Real Sociedad,Alaves,1,1,6,2,6,4,4,4,1,0
02/01/2024,20:30,Valencia,Villarreal,3,1,8,4,4,3,2,5,0,0
03/01/2024,18:15,Celta,Betis,2,1,6,3,8,7,0,2,0,0
03/01/2024,18:15,Real Madrid,Mallorca,1,0,5,0,5,4,2,3,0,0
03/01/2024,20:30,Girona,Ath Madrid,4,3,9,12,7,8,0,1,0,0
04/01/2024,16:00,Osasuna,Almeria,1,0,2,0,5,4,1,2,0,0
04/01/2024,18:15,Sevilla,Ath Bilbao,0,2,2,6,5,4,3,1,0,0
04/01/2024,20:30,Las Palmas,Barcelona,1,2,3,5,5,10,5,2,1,0
12/01/2024,20:00,Sevilla,Alaves,2,3,4,8,5,4,4,3,0,0
13/01/2024,13:00,Las Palmas,Villarreal,3,0,3,3,4,6,4,3,0,0
13/01/2024,15:15,Mallorca,Celta,1,1,6,2,10,1,4,1,0,0
13/01/2024,17:30,Ath Bilbao,Real Sociedad,2,1,3,1,5,5,1,4,0,0
13/01/2024,20:00,Betis,Granada,1,0,6,2,13,1,3,4,0,0
14/01/2024,15:15,Cadiz,Valencia,1,4,2,5,3,1,4,2,0,0
19/01/2024,20:00,Alaves,Cadiz,1,0,3,1,4,4,0,4,0,0
20/01/2024,13:00,Rayo,Las Palmas,0,2,3,5,12,0,3,1,1,0
20/01/2024,15:15,Villarreal,Mallorca,1,1,5,2,4,6,2,2,1,0
20/01/2024,17:30,Valencia,Ath Bilbao,1,0,1,3,4,2,0,3,0,0
20/01/2024,20:00,Celta,Real Sociedad,0,1,2,2,6,3,1,2,0,0
21/01/2024,13:00,Osasuna,Getafe,3,2,7,7,1,4,4,4,0,0
21/01/2024,15:15,Real Madrid,Almeria,3,2,6,2,6,3,3,5,0,0
21/01/2024,17:30,Betis,Barcelona,2,4,5,4,3,4,1,2,0,0
21/01/2024,20:00,Girona,Sevilla,5,1,8,3,4,5,0,2,0,0
22/01/2024,20:00,Granada,Ath Madrid,0,1,2,5,6,2,2,2,1,0
26/01/2024,20:00,Almeria,Alaves,0,3,7,3,11,3,1,2,0,0
27/01/2024,13:00,Real Sociedad,Rayo,0,0,3,0,2,2,2,4,0,0
27/01/2024,15:15,Las Palmas,Real Madrid,1,2,2,5,1,6,3,3,0,0
27/01/2024,17:30,Barcelona,Villarreal,3,5,10,6,10,0,3,4,0,0
27/01/2024,20:00,Mallorca,Betis,0,1,1,2,5,4,2,1,0,0
28/01/2024,13:00,Celta,Girona,0,1,5,6,5,7,1,1,0,0
28/01/2024,15:15,Cadiz,Ath Bilbao,0,0,2,0,6,8,4,2,0,0
28/01/2024,17:30,Sevilla,Osasuna,1,1,5,4,2,4,3,0,1,0
28/01/2024,20:00,Ath Madrid,Valencia,2,0,8,3,3,6,2,0,0,0
29/01/2024,20:00,Getafe,Granada,2,0,4,3,4,3,2,1,0,0
31/01/2024,18:00,Barcelona,Osasuna,1,0,4,1,6,6,1,2,0,1
31/01/2024,20:00,Ath Madrid,Rayo,2,1,3,2,5,6,0,3,0,0
01/02/2024,20:00,Getafe,Real Madrid,0,2,2,9,2,6,1,2,0,0
02/02/2024,20:00,Ath Bilbao,Mallorca,4,0,6,2,6,2,0,1,0,0
03/02/2024,13:00,Valencia,Almeria,2,1,2,5,0,6,4,5,0,0
03/02/2024,17:30,Alaves,Barcelona,1,3,2,5,14,5,2,2,0,1
03/02/2024,20:00,Girona,Real Sociedad,0,0,3,2,3,4,2,3,0,0
04/02/2024,13:00,Villarreal,Cadiz,0,0,4,2,13,2,3,1,0,0
04/02/2024,15:15,Osasuna,Celta,0,3,1,5,9,1,2,0,0,0
04/02/2024,17:30,Betis,Getafe,1,1,3,2,3,5,7,4,0,0
04/02/2024,20:00,Real Madrid,Ath Madrid,1,1,4,5,2,8,0,5,0,0
05/02/2024,20:00,Rayo,Sevilla,1,2,5,6,6,0,2,2,0,0
09/02/2024,20:00,Cadiz,Betis,0,2,5,5,5,3,1,1,0,0
10/02/2024,13:00,Alaves,Villarreal,1,1,4,4,10,9,0,2,0,0
10/02/2024,15:15,Real Sociedad,Osasuna,0,1,3,2,7,4,0,0,0,0
