Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 18_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
88,Yann Bodiger,fr FRA,MF,Cartagena,26,1995,31.9,4,28,10,35.7,0.88,0.31,0.14,0.40,0,0,Matches
89,Mateusz Bogusz,pl POL,"MF,FW",Ibiza,19,2001,15.2,4,30,9,30.0,1.97,0.59,0.13,0.44,0,0,Matches
90,Mohamed Bouldini,ma MAR,FW,CF Fuenlabrada,25,1995,15.9,7,31,17,54.8,1.95,1.07,0.23,0.41,0,0,Matches
91,Hicham Boussefiane,ma MAR,FW,Málaga,23,1998,1.7,0,0,0,,0.00,0.00,,,0,0,Matches
92,Brandon,es ESP,"FW,MF",Málaga,26,1995,31.3,9,72,23,31.9,2.30,0.74,0.07,0.22,4,4,Matches
93,Álvaro Bravo,es ESP,MF,CF Fuenlabrada,23,1998,5.6,0,5,1,20.0,0.89,0.18,0.00,0.00,0,0,Matches
94,Juanma Bravo,es ESP,MF,Alcorcón,23,1998,13.5,1,19,8,42.1,1.41,0.59,0.05,0.13,0,0,Matches
95,Gastón Brugman,uy URU,MF,Oviedo,28,1992,28.5,3,40,11,27.5,1.40,0.39,0.08,0.27,0,0,Matches
96,Brugui,es ESP,"MF,FW",Mirandés,24,1996,25.2,8,67,24,35.8,2.66,0.95,0.12,0.33,0,0,Matches
97,Santiago Bueno,uy URU,DF,Girona,22,1998,29.7,1,19,9,47.4,0.64,0.30,0.05,0.11,0,0,Matches
98,Stephen Buer,es ESP,MF,CF Fuenlabrada,22,1999,1.2,0,4,1,25.0,3.40,0.85,0.00,0.00,0,0,Matches
99,Julio Buffarini,ar ARG,DF,Cartagena,32,1988,4.9,1,2,1,50.0,0.41,0.21,0.50,1.00,0,0,Matches
100,Julio Buffarini,ar ARG,"DF,MF",Huesca,32,1988,11.3,0,5,1,20.0,0.44,0.09,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Aitor Buñuel,es ESP,DF,Almería,23,1998,7.2,0,2,0,0.0,0.28,0.00,0.00,,0,0,Matches
102,Esteban Burgos,ar ARG,DF,Eibar,29,1992,14.2,0,10,2,20.0,0.70,0.14,0.00,0.00,0,1,Matches
103,Unai Bustinza,es ESP,"DF,MF",Leganés,29,1992,6.8,0,4,0,0.0,0.59,0.00,0.00,,0,0,Matches
104,Nahuel Bustos,ar ARG,FW,Girona,23,1998,15.7,11,40,24,60.0,2.54,1.53,0.28,0.46,0,0,Matches
105,Raul Caballero,es ESP,FW,Almería,20,2001,0.7,0,1,0,0.0,1.36,0.00,0.00,,0,0,Matches
106,Jordi Calavera,es ESP,"DF,MF",Girona,25,1995,4.6,0,5,0,0.0,1.09,0.00,0.00,,0,0,Matches
107,Jordi Calavera,es ESP,DF,Sporting Gijón,25,1995,2.6,0,3,0,0.0,1.14,0.00,0.00,,0,0,Matches
108,Iván Calero,es ESP,"DF,MF",Alcorcón,26,1995,14.2,1,21,3,14.3,1.47,0.21,0.05,0.33,0,0,Matches
109,Iván Calero,es ESP,DF,Málaga,26,1995,1.1,0,2,1,50.0,1.86,0.93,0.00,0.00,0,0,Matches
110,Dani Calvo,es ESP,DF,Oviedo,27,1994,39.1,1,10,2,20.0,0.26,0.05,0.10,0.50,0,0,Matches
111,José Javier Belman Calvo,es ESP,GK,CF Fuenlabrada,22,1998,5.0,0,0,0,,0.00,0.00,,,0,0,Matches
112,Dawda Camara,mr MTN,FW,Girona,18,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
113,Sergio Camello,es ESP,FW,Mirandés,20,2001,32.0,15,98,46,46.9,3.06,1.44,0.15,0.33,0,2,Matches
114,Eduard Campabadal,es ESP,DF,Lugo,28,1993,17.3,0,6,2,33.3,0.35,0.12,0.00,0.00,0,0,Matches
115,Gaspar Campos,es ESP,MF,Sporting Gijón,21,2000,19.0,2,29,7,24.1,1.53,0.37,0.07,0.29,0,0,Matches
116,Víctor Campuzano,es ESP,"MF,FW",Sporting Gijón,24,1997,5.4,1,11,5,45.5,2.05,0.93,0.09,0.20,0,0,Matches
117,Roberto Canella,es ESP,DF,Lugo,33,1988,13.6,0,2,0,0.0,0.15,0.00,0.00,,0,0,Matches
118,Ander Cantero,es ESP,GK,Eibar,26,1995,24.0,0,0,0,,0.00,0.00,,,0,0,Matches
119,Riccardo Capellini,it ITA,"DF,MF",Mirandés,21,2000,18.5,0,6,2,33.3,0.32,0.11,0.00,0.00,0,0,Matches
120,Álex Cardero,es ESP,MF,Oviedo,17,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
121,Sergi Cardona,es ESP,DF,Las Palmas,22,1999,34.1,0,20,5,25.0,0.59,0.15,0.00,0.00,0,0,Matches
122,José Carlos,es ESP,DF,Alcorcón,25,1996,6.3,0,0,0,,0.00,0.00,,,0,0,Matches
123,Juan Carlos,es ESP,"MF,FW",Huesca,30,1991,7.7,1,13,6,46.2,1.68,0.78,0.08,0.17,0,0,Matches
124,Juan Carlos,es ESP,GK,Girona,33,1988,38.0,0,0,0,,0.00,0.00,,,0,0,Matches
125,Kevin Carlos,es ESP,FW,Huesca,20,2001,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,José Carlos Lazo,es ESP,"FW,MF",Almería,25,1996,14.0,5,39,14,35.9,2.79,1.00,0.13,0.36,0,0,Matches
127,Andrés Caro,es ESP,DF,Málaga,17,2004,4.3,0,0,0,,0.00,0.00,,,0,0,Matches
128,Sergio Carreira,es ESP,"DF,MF",Mirandés,20,2000,33.4,1,13,6,46.2,0.39,0.18,0.08,0.17,0,0,Matches
129,Daniel Carriço,pt POR,DF,Almería,32,1988,2.4,0,1,0,0.0,0.41,0.00,0.00,,0,0,Matches
130,Ismael Casas Casado,es ESP,DF,Málaga,20,2001,10.0,0,3,0,0.0,0.30,0.00,0.00,,0,0,Matches
131,Sergio Castel,es ESP,FW,Ibiza,26,1995,27.3,9,80,27,33.8,2.93,0.99,0.11,0.33,0,0,Matches
132,Adri Castellano,es ESP,DF,Ponferradina,27,1994,7.1,0,1,0,0.0,0.14,0.00,0.00,,0,0,Matches
133,Rubén Castro,es ESP,FW,Cartagena,40,1981,35.3,20,87,40,46.0,2.47,1.13,0.15,0.33,7,8,Matches
134,Berto Cayarga,es ESP,MF,Cartagena,24,1996,18.9,3,22,7,31.8,1.16,0.37,0.14,0.43,0,0,Matches
135,Álex Centelles,es ESP,DF,Almería,23,1997,16.8,0,9,5,55.6,0.54,0.30,0.00,0.00,0,0,Matches
136,Mike Cevallos,ec ECU,FW,Ibiza,20,2001,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
137,Pablo Chavarría,ar ARG,FW,Málaga,33,1988,4.6,0,5,1,20.0,1.10,0.22,0.00,0.00,0,0,Matches
138,Pep Chavarría,es ESP,DF,Zaragoza,23,1998,34.3,0,15,1,6.7,0.44,0.03,0.00,0.00,0,0,Matches
139,Chema,es ESP,DF,Eibar,29,1992,10.1,0,7,0,0.0,0.69,0.00,0.00,,0,0,Matches
140,Christian,es ESP,DF,Oviedo,35,1985,1.1,0,0,0,,0.00,0.00,,,0,0,Matches
141,Chumi,es ESP,DF,Almería,22,1999,24.9,1,9,1,11.1,0.36,0.04,0.11,1.00,0,0,Matches
142,Churripi,es ESP,GK,Burgos,27,1994,14.3,0,0,0,,0.00,0.00,,,0,0,Matches
143,Cifu,es ESP,"DF,MF",Ibiza,30,1990,21.4,0,9,1,11.1,0.42,0.05,0.00,0.00,0,0,Matches
144,Seydouba Cissé,gn GUI,MF,Leganés,20,2001,13.6,3,18,5,27.8,1.32,0.37,0.17,0.60,0,0,Matches
145,Clave,es ESP,MF,Ibiza,21,2000,0.7,1,2,1,50.0,3.05,1.53,0.50,1.00,0,0,Matches
146,Pablo Clavería,es ESP,MF,Cartagena,25,1996,6.2,0,5,1,20.0,0.81,0.16,0.00,0.00,0,0,Matches
147,Pablo Clavería,es ESP,MF,Lugo,25,1996,13.7,1,16,4,25.0,1.17,0.29,0.06,0.25,0,0,Matches
148,Enrique Clemente,es ESP,DF,Real Sociedad B,22,1999,14.4,0,6,0,0.0,0.42,0.00,0.00,,0,0,Matches
149,Enrique Clemente,es ESP,MF,Zaragoza,22,1999,1.0,0,1,0,0.0,1.05,0.00,0.00,,0,0,Matches
