Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
567,Óliver Torres,es ESP,"MF,FW",Sevilla,26,1994,11.2,2,14,5,35.7,1.25,0.45,0.14,0.40,0,0,Matches
568,Pau Torres,es ESP,DF,Villarreal,24,1997,31.7,5,24,9,37.5,0.76,0.28,0.21,0.56,0,0,Matches
569,Roberto Torres,es ESP,"MF,FW",Osasuna,32,1989,9.0,2,15,5,33.3,1.67,0.56,0.00,0.00,2,2,Matches
570,Lucas Torró,es ESP,MF,Osasuna,27,1994,30.3,1,34,9,26.5,1.12,0.30,0.03,0.11,0,0,Matches
571,Adama Traoré,es ESP,FW,Barcelona,25,1996,4.2,0,9,3,33.3,2.12,0.71,0.00,0.00,0,0,Matches
572,Óscar Trejo,ar ARG,MF,Rayo Vallecano,33,1988,22.3,3,23,9,39.1,1.03,0.40,0.00,0.00,3,3,Matches
573,Manu Trigueros,es ESP,"MF,FW",Villarreal,29,1991,24.2,6,41,18,43.9,1.69,0.74,0.15,0.33,0,0,Matches
574,Kieran Trippier,eng ENG,"MF,DF",Atlético Madrid,30,1990,10.8,0,2,0,0.0,0.18,0.00,0.00,,0,0,Matches
575,Beñat Turrientes,es ESP,MF,Real Sociedad,19,2002,2.3,0,7,2,28.6,3.04,0.87,0.00,0.00,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
576,Samuel Umtiti,fr FRA,DF,Barcelona,27,1993,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
577,Enes Ünal,tr TUR,FW,Getafe,24,1997,31.1,16,86,28,32.6,2.77,0.90,0.16,0.50,2,4,Matches
578,Myrto Uzuni,al ALB,"MF,FW",Granada,26,1995,9.5,1,11,2,18.2,1.16,0.21,0.09,0.50,0,0,Matches
579,Álvaro Vadillo,es ESP,"FW,MF",Espanyol,26,1994,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
580,Óscar Valentín,es ESP,MF,Rayo Vallecano,26,1994,28.5,0,11,2,18.2,0.39,0.07,0.00,0.00,0,0,Matches
581,Germán Valera,es ESP,"FW,MF",Real Sociedad,19,2002,0.6,0,1,0,0.0,1.76,0.00,0.00,,0,0,Matches
582,Martin Valjent,sk SVK,DF,Mallorca,25,1995,35.3,0,10,1,10.0,0.28,0.03,0.00,0.00,0,0,Matches
583,Jesús Vallejo,es ESP,DF,Real Madrid,24,1997,3.8,0,0,0,,0.00,0.00,,,0,0,Matches
584,Manu Vallejo,es ESP,"FW,MF",Valencia,24,1997,1.1,0,3,1,33.3,2.76,0.92,0.00,0.00,0,0,Matches
585,Manu Vallejo,es ESP,"MF,FW",Alavés,24,1997,4.1,1,3,2,66.7,0.73,0.49,0.33,0.50,0,0,Matches
586,Federico Valverde,uy URU,MF,Real Madrid,23,1998,20.4,0,34,9,26.5,1.67,0.44,0.00,0.00,0,0,Matches
587,José Luis García Vayá,es ESP,MF,Levante,22,1998,22.4,0,14,2,14.3,0.63,0.09,0.00,0.00,0,0,Matches
588,Jesus Vazquez,es ESP,"MF,DF",Valencia,18,2003,9.0,0,4,1,25.0,0.44,0.11,0.00,0.00,0,0,Matches
589,Kevin Vázquez,es ESP,DF,Celta Vigo,28,1993,14.8,0,3,1,33.3,0.20,0.07,0.00,0.00,0,0,Matches
590,Lucas Vázquez,es ESP,DF,Real Madrid,30,1991,20.4,3,18,5,27.8,0.88,0.25,0.17,0.60,0,0,Matches
591,Gabriel Veiga,es ESP,MF,Celta Vigo,19,2002,1.2,0,2,0,0.0,1.67,0.00,0.00,,0,0,Matches
592,Unai Vencedor Paris,es ESP,MF,Athletic Club,20,2000,26.5,0,20,2,10.0,0.76,0.08,0.00,0.00,0,0,Matches
593,Gonzalo Verdú,es ESP,DF,Elche,32,1988,15.5,0,3,0,0.0,0.19,0.00,0.00,,0,0,Matches
594,Mikel Vesga,es ESP,MF,Athletic Club,28,1993,15.1,2,14,4,28.6,0.93,0.27,0.14,0.50,0,0,Matches
595,Rúben Vezo,pt POR,DF,Levante,27,1994,26.9,0,18,4,22.2,0.67,0.15,0.00,0.00,0,0,Matches
596,Aleix Vidal,es ESP,"DF,MF",Espanyol,31,1989,21.1,2,6,3,50.0,0.28,0.14,0.33,0.67,0,0,Matches
597,Nacho Vidal,es ESP,DF,Osasuna,26,1995,32.2,0,20,1,5.0,0.62,0.03,0.00,0.00,0,0,Matches
598,Dídac Vilà,es ESP,DF,Espanyol,32,1989,2.3,0,0,0,,0.00,0.00,,,0,0,Matches
599,Tonny Vilhena,nl NED,"MF,FW",Espanyol,26,1995,10.3,1,15,3,20.0,1.45,0.29,0.07,0.33,0,0,Matches
600,Daniel Villahermosa,es ESP,MF,Espanyol,20,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
601,Asier Villalibre,es ESP,FW,Athletic Club,23,1997,6.1,2,19,6,31.6,3.12,0.99,0.11,0.33,0,0,Matches
602,Gonzalo Villar,es ESP,MF,Getafe,23,1998,3.3,0,2,2,100.0,0.60,0.60,0.00,0.00,0,0,Matches
