Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
123,Jesús Corona,mx MEX,MF,Sevilla,29,1993,4,1,111,1.2,1,0,1,1,0,0,0,0,0.81,0.00,0.81,0.81,0.81,Matches
124,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27,1995,35,13,1455,16.2,9,1,10,9,0,0,3,1,0.56,0.06,0.62,0.56,0.62,Matches
125,Thierry Correia,pt POR,DF,Valencia,23,1999,27,24,2009,22.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Jaume Costa,es ESP,DF,Mallorca,34,1988,32,30,2599,28.9,0,1,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matches
127,Samu Costa,pt POR,MF,Almería,21,2000,32,22,1989,22.1,1,2,3,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14,Matches
128,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Yan Couto,br BRA,"MF,DF",Girona,20,2002,25,12,1158,12.9,1,2,3,1,0,0,3,0,0.08,0.16,0.23,0.08,0.23,Matches
130,Juan Cruz Armada,es ESP,DF,Osasuna,30,1992,27,21,2062,22.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Juan Cruz,es ESP,MF,Real Betis,22,2000,6,1,178,2.0,1,0,1,1,0,0,1,0,0.51,0.00,0.51,0.51,0.51,Matches
132,Jorge Cuenca,es ESP,DF,Villarreal,22,1999,10,5,506,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Braian Cufré,ar ARG,"MF,DF",Mallorca,25,1996,5,2,220,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Matheus Cunha,br BRA,"MF,FW",Atlético Madrid,23,1999,11,2,377,4.2,0,2,2,0,0,0,2,0,0.00,0.48,0.48,0.00,0.48,Matches
135,Curro,es ESP,"FW,MF",Almería,26,1996,2,0,43,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Arnaut Danjuma,nl NED,FW,Villarreal,25,1997,10,6,479,5.3,2,0,2,1,1,1,0,0,0.38,0.00,0.38,0.19,0.19,Matches
137,Sergi Darder,es ESP,MF,Espanyol,28,1993,38,38,3320,36.9,6,3,9,6,0,0,4,0,0.16,0.08,0.24,0.16,0.24,Matches
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28,1994,30,24,1923,21.4,2,7,9,2,0,0,5,0,0.09,0.33,0.42,0.09,0.42,Matches
139,Alberto Del Moral,es ESP,MF,Villarreal,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Thomas Delaney,dk DEN,MF,Sevilla,30,1991,8,2,309,3.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Fran Delgado,es ESP,DF,Real Betis,21,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Ousmane Dembélé,fr FRA,FW,Barcelona,25,1997,25,16,1410,15.7,5,7,12,5,0,0,4,0,0.32,0.45,0.77,0.32,0.77,Matches
143,Mouctar Diakhaby,gn GUI,DF,Valencia,25,1996,29,28,2446,27.2,3,0,3,3,0,0,7,1,0.11,0.00,0.11,0.11,0.11,Matches
144,Mamady Diarra,ml MLI,MF,Cádiz,22,2000,2,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Youba Diarra,ml MLI,MF,Cádiz,24,1998,5,1,98,1.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
146,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28,1993,37,37,3324,36.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Djené,tg TOG,DF,Getafe,30,1991,33,33,2840,31.6,0,1,1,0,0,0,10,1,0.00,0.03,0.03,0.00,0.03,Matches
148,Marko Dmitrović,rs SRB,GK,Sevilla,30,1992,15,13,1269,14.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Matt Doherty,ie IRL,"DF,MF",Atlético Madrid,30,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
150,Kasper Dolberg,dk DEN,FW,Sevilla,24,1997,4,2,197,2.2,0,1,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Carlos Dominguez,es ESP,DF,Celta Vigo,21,2001,3,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
152,John Donald,es ESP,"MF,DF",Elche,21,2000,14,13,1092,12.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
153,Domingos Duarte,pt POR,DF,Getafe,27,1995,31,30,2657,29.5,0,2,2,0,0,0,11,1,0.00,0.07,0.07,0.00,0.07,Matches
154,Pablo Durán,es ESP,FW,Celta Vigo,21,2001,4,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Hugo Duro,es ESP,FW,Valencia,22,1999,30,12,1385,15.4,1,1,2,1,0,1,5,0,0.06,0.06,0.13,0.06,0.13,Matches
156,Íñigo Eguaras,es ESP,MF,Almería,30,1992,25,10,967,10.7,1,1,2,1,0,0,6,0,0.09,0.09,0.19,0.09,0.19,Matches
157,Aritz Elustondo,es ESP,DF,Real Sociedad,28,1994,25,16,1449,16.1,0,1,1,0,0,0,5,1,0.00,0.06,0.06,0.00,0.06,Matches
158,Rodrigo Ely,br BRA,DF,Almería,28,1993,36,36,3155,35.1,0,1,1,0,0,0,10,1,0.00,0.03,0.03,0.00,0.03,Matches
159,Adri Embarba,es ESP,"FW,MF",Almería,30,1992,29,18,1472,16.4,4,3,7,3,1,1,5,1,0.24,0.18,0.43,0.18,0.37,Matches
160,Adri Embarba,es ESP,"FW,MF",Espanyol,30,1992,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
