Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
50,Pablo Arana,es ESP,FW,Cádiz,19,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,,,25/26
51,Pello Arana,es ESP,DF,Real Sociedad B,18,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,7,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,25/26
52,Anaitz Arbilla,es ESP,DF,Eibar,38,1987,31.9,4,29,8,27.6,0.91,0.25,0.14,0.50,0,0,Matches,34,33,2869,1,5,4,7,2,0.13,0.03,0.16,0.13,0.16,0,31,11,2,41,62,30,,,0,,,,,,,,,,,,,,,25/26
53,Adu Ares,es ESP,"MF,FW",Eibar,23,2001,17.0,2,32,12,37.5,1.88,0.70,0.06,0.17,0,0,Matches,28,18,1533,1,3,2,5,0,0.12,0.06,0.18,0.12,0.18,0,23,34,3,21,4,19,,,0,,,,,,,,,,,,,,,25/26
54,Jeremy Arévalo,ec ECU,"FW,MF",Racing Sant,20,2005,9.7,8,27,17,63.0,2.78,1.75,0.30,0.47,0,0,Matches,18,8,875,0,8,8,1,0,0.82,0.00,0.82,0.82,0.82,0,10,23,2,5,0,7,,,0,,,,,,,,,,,,,,,25/26
55,José Arnaiz,es ESP,"FW,MF",Granada,30,1995,26.5,9,63,24,38.1,2.37,0.90,0.14,0.38,0,0,Matches,35,28,2388,2,11,9,5,0,0.34,0.08,0.41,0.34,0.41,0,20,44,15,128,12,19,,,0,,,,,,,,,,,,,,,25/26
56,Sergio Arribas,es ESP,DF,Huesca,22,2003,8.3,0,2,1,50.0,0.24,0.12,0.00,0.00,0,0,Matches,12,9,749,1,1,0,4,0,0.00,0.12,0.12,0.00,0.12,0,14,3,0,9,12,10,,,0,,,,,,,,,,,,,,,25/26
57,Sergio Arribas,es ESP,DF,Cádiz,22,2003,6.7,1,3,1,33.3,0.45,0.15,0.33,1.00,0,0,Matches,8,7,603,1,2,1,0,0,0.15,0.15,0.30,0.15,0.30,0,5,2,0,11,6,17,,,0,,,,,,,,,,,,,,,25/26
58,Sergio Arribas,es ESP,MF,Almería,23,2001,38.3,25,117,53,45.3,3.06,1.38,0.13,0.28,10,10,Matches,42,41,3445,7,32,15,3,0,0.65,0.18,0.84,0.39,0.57,0,20,41,3,129,12,24,,,0,,,,,,,,,,,,,,,25/26
59,Hodei Arrillaga,,DF,Eibar,,,4.6,0,3,0,0.0,0.66,0.00,0.00,,0,0,Matches,8,4,412,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,2,0,5,3,6,,,0,,,,,,,,,,,,,,,25/26
60,Anderson Arroyo,co COL,DF,Burgos,25,1999,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,3,3,260,1,1,0,0,0,0.00,0.35,0.35,0.00,0.35,0,1,4,1,10,2,2,,,0,,,,,,,,,,,,,,,25/26
61,José Arvelo,es ESP,MF,Las Palmas,20,2005,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,0,2,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,25/26
62,Lander Astiazaran,es ESP,MF,Real Sociedad B,19,2006,29.2,6,52,16,30.8,1.78,0.55,0.12,0.38,0,0,Matches,41,29,2628,4,10,6,4,0,0.21,0.14,0.34,0.21,0.34,0,29,29,3,86,18,26,,,0,,,,,,,,,,,,,,,25/26
63,Ander Astralaga,es ESP,GK,Granada,21,2004,15.0,0,0,0,,0.00,0.00,,,0,0,Matches,16,15,1351,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,,,0,23,1.53,61,38,62.3,3,4,8,3,20.0,2,0,0,0.0,25/26
64,Miguel Atienza,es ESP,MF,Burgos,26,1999,39.0,2,18,4,22.2,0.46,0.10,0.11,0.50,0,0,Matches,40,40,3511,0,2,2,14,0,0.05,0.00,0.05,0.05,0.05,0,42,43,2,4,94,52,,,0,,,,,,,,,,,,,,,25/26
