Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
114,Sulei Camara,gm GAM,MF,Ibiza,20,2001,20.6,8,0,0,35,54,6,53,0,16,,,0,Matches
115,Víctor Camarasa,es ESP,MF,Oviedo,28,1994,7.0,1,0,0,8,13,0,35,10,5,,,0,Matches
116,José Campaña,es ESP,MF,Levante,29,1993,14.4,5,0,0,12,18,0,46,7,16,,,0,Matches
117,Gaspar Campos,es ESP,"FW,MF",Sporting Gijón,22,2000,0.1,0,0,0,0,1,0,0,0,1,,,0,Matches
118,Gaspar Campos,es ESP,"MF,FW",Burgos,22,2000,18.4,1,0,0,7,22,5,26,8,13,,,0,Matches
119,Víctor Campuzano,es ESP,"FW,MF",Sporting Gijón,25,1997,8.4,3,0,0,17,12,6,8,0,4,,,0,Matches
120,Marco Camús,es ESP,MF,Racing Sant,20,2001,7.3,1,0,0,7,25,2,16,10,7,,,0,Matches
121,Álex Cantero,es ESP,"FW,MF",Levante,22,2000,14.3,4,0,0,37,11,3,23,2,14,,,0,Matches
122,Marc Carbó,es ESP,MF,Lugo,28,1994,14.7,3,0,0,24,10,0,4,15,21,,,0,Matches
123,Dani Cárdenas,es ESP,GK,Levante,25,1997,34.0,3,0,0,0,6,0,0,1,1,,,0,Matches
124,Marc Cardona,es ESP,FW,Las Palmas,27,1995,22.8,4,0,0,28,46,38,7,5,16,,,0,Matches
125,Sergi Cardona,es ESP,DF,Las Palmas,23,1999,34.7,11,0,0,47,50,4,96,57,65,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Carlo,es ESP,MF,Villarreal B,21,2001,30.2,7,0,0,35,22,1,2,36,40,,,0,Matches
127,Juan Carlos,es ESP,"FW,MF",Huesca,31,1991,29.7,7,1,0,40,60,12,49,15,33,,,0,Matches
128,Kevin Carlos,es ESP,FW,Huesca,21,2001,5.9,3,0,0,15,6,4,1,2,3,,,0,Matches
129,Zé Carlos,pt POR,DF,Ibiza,24,1998,4.2,1,0,0,6,12,1,13,3,5,,,0,Matches
130,Andrés Caro,es ESP,DF,Málaga,18,2004,0.8,1,0,0,2,1,0,0,0,1,,,0,Matches
131,Salifo Caropitche,gw GNB,FW,Mirandés,21,2001,0.0,1,0,0,2,0,0,0,0,0,,,0,Matches
132,Sergio Carreira,es ESP,"DF,MF",Villarreal B,21,2000,24.5,1,0,0,12,16,4,40,10,20,,,0,Matches
133,Jordan Carrillo,mx MEX,MF,Sporting Gijón,20,2001,8.1,1,0,0,13,41,1,23,5,11,,,0,Matches
134,Pau Casadesús,es ESP,DF,FC Andorra,18,2003,2.1,1,0,0,5,0,0,0,0,7,,,0,Matches
135,Sergio Castel,es ESP,FW,Ibiza,27,1995,7.5,4,0,0,21,11,5,10,1,7,,,0,Matches
136,Sergio Castel,es ESP,FW,Burgos,27,1995,5.9,2,0,0,22,2,2,1,1,5,,,0,Matches
137,Adri Castellano,es ESP,DF,Ponferradina,28,1994,13.5,4,0,0,16,9,0,48,11,20,,,0,Matches
138,Nacho Castillo,es ESP,MF,Mirandés,22,2000,0.7,0,0,0,2,0,0,0,2,2,,,0,Matches
139,Castrin,es ESP,DF,Lugo,19,2003,4.0,1,0,0,5,1,0,0,3,6,,,0,Matches
140,Rubén Castro,es ESP,FW,Málaga,41,1981,32.4,0,0,0,17,34,34,31,6,2,,,0,Matches
141,Karim Chaban,dz ALG,MF,Albacete,22,2000,0.0,0,0,0,3,0,0,1,0,1,,,0,Matches
142,Sofian Chakla,ma MAR,DF,Ponferradina,28,1993,11.4,0,0,0,11,11,7,1,15,6,,,0,Matches
143,Jorge Chanza,es ESP,GK,Ibiza,24,1998,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
144,Pablo Chavarría,ar ARG,"MF,FW",Málaga,34,1988,13.8,1,0,0,39,13,18,19,4,18,,,0,Matches
145,Pep Chavarría,es ESP,DF,Zaragoza,24,1998,2.0,0,0,0,2,3,0,8,3,5,,,0,Matches
146,Chema,es ESP,DF,Eibar,30,1992,1.8,3,0,0,4,3,0,0,2,2,,,0,Matches
147,Churripi,es ESP,GK,Burgos,28,1994,39.4,1,1,0,1,10,0,0,0,1,,,0,Matches
148,Seydouba Cissé,gn GUI,MF,Leganés,21,2001,26.0,9,0,0,37,39,1,30,15,32,,,0,Matches
149,Pablo Clavería,es ESP,MF,Lugo,26,1996,19.8,8,0,0,25,13,0,29,25,21,,,0,Matches
150,Daniel Clavijo,es ESP,MF,Villarreal B,18,2003,0.9,0,0,0,2,0,0,0,0,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Enrique Clemente,es ESP,DF,Las Palmas,23,1999,6.7,2,0,0,8,4,1,9,8,12,,,0,Matches
152,Óscar Clemente,es ESP,MF,Las Palmas,23,1999,17.2,3,0,0,16,29,0,48,14,11,,,0,Matches
