Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
57,Anderson Arroyo,co COL,DF,Mirandés,21,1999,39,36,3255,36.2,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches
58,Ricard Artero,es ESP,MF,Girona,18,2003,11,0,139,1.5,0,1,1,0,0,0,0,0,0.00,0.65,0.65,0.00,0.65,Matches
59,Raúl Asencio,es ESP,FW,Alcorcón,23,1998,15,5,510,5.7,2,2,4,2,0,0,3,0,0.35,0.35,0.71,0.35,0.71,Matches
60,Miguel Atienza,es ESP,"MF,DF",Eibar,22,1999,22,9,878,9.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Jose Aurelio Suarez,es ESP,GK,Alcorcón,25,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Javier Avilés,es ESP,FW,Leganés,23,1997,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Gaizka Ayesa,es ESP,GK,Real Sociedad B,20,2001,21,20,1858,20.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Ivan Azón,es ESP,FW,Zaragoza,18,2002,35,15,1418,15.8,7,1,8,7,0,0,2,0,0.44,0.06,0.51,0.44,0.51,Matches
65,Srđan Babić,rs SRB,DF,Almería,25,1996,37,35,3174,35.3,1,0,1,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,Matches
66,Jean-Sylvain Babin,mq MTQ,DF,Sporting Gijón,34,1986,31,31,2728,30.3,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches
67,Iker Bachiller,es ESP,DF,Alcorcón,18,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Abdel Al Badaoui,be BEL,"MF,FW",Alcorcón,25,1996,17,9,821,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Álex Baena,es ESP,"MF,FW",Girona,20,2001,38,35,2807,31.2,5,6,11,5,0,0,16,1,0.16,0.19,0.35,0.16,0.35,Matches
70,Miguel Baeza,es ESP,"MF,FW",Ponferradina,21,2000,13,5,422,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Yoel Bárcenas,pa PAN,"MF,FW",Leganés,27,1993,26,11,1272,14.1,2,3,5,2,0,0,0,0,0.14,0.21,0.35,0.14,0.35,Matches
72,Manu Barreiro,es ESP,FW,Lugo,35,1986,36,16,1442,16.0,7,0,7,5,2,2,4,0,0.44,0.00,0.44,0.31,0.31,Matches
73,Dani Barrio,es ESP,GK,Málaga,34,1987,14,14,1260,14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Borja Bastón,es ESP,FW,Oviedo,28,1992,40,36,3229,35.9,22,2,24,14,8,11,4,0,0.61,0.06,0.67,0.39,0.45,Matches
75,Jon Bautista,es ESP,FW,Leganés,26,1995,24,12,1160,12.9,1,1,2,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Juan Becerra,co COL,FW,Ponferradina,23,1998,5,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Carlos Bellvís,es ESP,"DF,MF",Alcorcón,36,1985,19,16,1393,15.5,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches
78,Saúl Berjón,es ESP,MF,Burgos,35,1986,31,15,1576,17.5,0,5,5,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches
79,Álex Bermejo,es ESP,MF,Tenerife,22,1998,29,23,1797,20.0,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15,Matches
80,Sergio Bermejo,es ESP,"MF,FW",Zaragoza,23,1997,34,28,2135,23.7,3,2,5,3,0,0,4,0,0.13,0.08,0.21,0.13,0.21,Matches
81,Juan Berrocal,es ESP,DF,Sporting Gijón,22,1999,28,23,1982,22.0,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Berto,es ESP,"FW,MF",Sporting Gijón,23,1998,14,5,530,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Iker Bilbao,es ESP,MF,Amorebieta,25,1996,38,29,2428,27.0,2,3,5,2,0,0,5,0,0.07,0.11,0.19,0.07,0.19,Matches
84,Gustavo Blanco Leschuk,ar ARG,FW,Eibar,29,1991,35,18,1762,19.6,4,1,5,4,0,0,5,0,0.20,0.05,0.26,0.20,0.26,Matches
85,Jérémy Blasco,fr FRA,DF,Real Sociedad B,22,1999,40,34,3109,34.5,1,3,4,1,0,0,4,0,0.03,0.09,0.12,0.03,0.12,Matches
86,Pablo de Blasis,ar ARG,MF,Cartagena,33,1988,34,31,2644,29.4,4,7,11,4,0,0,4,0,0.14,0.24,0.37,0.14,0.37,Matches
87,Richard Boateng,gh GHA,MF,Cartagena,29,1992,26,13,1149,12.8,2,0,2,2,0,0,9,2,0.16,0.00,0.16,0.16,0.16,Matches
88,Yann Bodiger,fr FRA,MF,Cartagena,26,1995,39,34,2867,31.9,4,2,6,4,0,0,8,0,0.13,0.06,0.19,0.13,0.19,Matches
89,Mateusz Bogusz,pl POL,"MF,FW",Ibiza,19,2001,20,17,1371,15.2,4,5,9,4,0,0,2,0,0.26,0.33,0.59,0.26,0.59,Matches
90,Mohamed Bouldini,ma MAR,FW,CF Fuenlabrada,25,1995,17,17,1431,15.9,7,1,8,7,0,0,5,1,0.44,0.06,0.50,0.44,0.50,Matches
91,Hicham Boussefiane,ma MAR,FW,Málaga,23,1998,6,0,152,1.7,0,1,1,0,0,0,0,0,0.00,0.59,0.59,0.00,0.59,Matches
92,Brandon,es ESP,"FW,MF",Málaga,26,1995,40,32,2813,31.3,9,1,10,5,4,4,10,0,0.29,0.03,0.32,0.16,0.19,Matches
93,Álvaro Bravo,es ESP,MF,CF Fuenlabrada,23,1998,13,6,503,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
